,property_type,sector_info,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features
3475,ind. house,sector 25,,7.3,1560.0,46795.0,Plot area 215(179.77 sq.m.)Built Up area: 5800 sq.yards (4849.54 sq.m.)Carpet area: 5200 sq.yards (4347.86 sq.m.),9.0,9.0,2 ,"Servant Room,Store Room",3.0,North-West,1 to 5 Year Old,"['Vodafone belvedere towers metro station', 'Dlf phase 2 metro station', 'Dlf phase 3 metro station', 'Indusind bank cyber city metro station', 'Sikandarpur metro station', 'Shri Shiv Shakthi Mandir', 'Jain Bhawan', 'Arya Samaj Mandir', 'Central bank atm teste 001112', 'Central bank ATM', 'Kotak mahindra ATM', 'Citibank ATM', 'Abn amro bank ATM', 'Axis bank ATM', 'Surgi Center Clinic', 'Kailash Nursing Home Gurgaon', 'RBS Dental Clinic', 'Cosmodentz Dental Clinic', 'Uma Sanjeevani Health Centre And Hospital', 'Relief Physiotherapy Clinic', 'Darpan Skin & Mind Clinic', 'Durga Poly Clinic', 'Krishna Family Clinic', 'Guardian', '98.4', 'Religare Wellness', 'Shri Balaji Medical Store', 'DLF Cyber City Phase II', 'Emaar Business Park', 'Standard chartered bank', 'Icici bank', 'Deutsche bank', 'Hsbc bank', 'Kotak mahindra bank', 'Axis bank', 'PVR Cinames', 'Mukesh Dhaba', 'Mc Donalds', ""McDonald's"", 'Food Court', 'The God Father', 'Cantine', 'barrique', 'American Montessori']","['12 Fan', '1 Exhaust Fan', '28 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
1842,flat,sector 85 ,ss the leaf,1.14,6951.0,1640.05,Super Built up area 1640(152.36 sq.m.),2.0,2.0,3 ,not available,4.0,South,1 to 5 Year Old,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'NH 08', 'Pataudi Road', 'Delhi Public School Sector 84', 'DPG Institute of Technology', 'Genesis Hospital Sector 84', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'SkyJumper Trampoline Park', 'Nakhrola Stadium Sector 81A']","['3 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
793,flat,sector 113 ,la vida by tata housing,1.75,10489.0,1668.41,Super Built up area 1573(146.14 sq.m.),2.0,2.0,3 ,Study Room,10.0,East,1 to 5 Year Old,"['Dwarka Sector 21', 'Pacific D21 Mall', 'Bajghera Road', 'Dwarka Expy', 'Euro International School, Sector- 109.', 'The NorthCap University', ""Rion's Hospital"", 'Indira Gandhi Intl Airport', 'Bijwasan Railway Station']",[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
1694,flat,sector 86 ,pyramid urban homes 2,0.42,6905.0,601.01,Carpet area: 601 (55.83 sq.m.),2.0,2.0,1 ,not available,3.0,West,1 to 5 Year Old,"['Sapphire 83 Mall', 'Rampura Flyover, Naurangpur Rd', 'Manesar toll plaza - Kherki Daula', ""St. Xavier's High School"", 'Imt Manesar, Gurugram', 'Aarvy Healthcare Super Speciality', 'Indira Gandhi Intl Airport', 'Minda Industries  Corporate Office', 'Holiday Inn', 'Nakhrola Stadium']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Waste Disposal', 'Rain Water Harvesting']"
2180,flat,sector 35,eldeco accolade,1.35,6136.0,2200.13,Carpet area: 2200 (204.39 sq.m.),3.0,3.0,3 ,Servant Room,2.0,,0 to 1 Year Old,"['Global City Centre', 'Sohna Road', 'Damdama More', 'Western Peripheral Expressway', 'GD Goenka World School', 'K.R. Mangalam University', 'Civil Hospital']",,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
414,flat,sector 82 ,mapsko royale ville,0.99,5530.0,1790.24,Super Built up area 1790(166.3 sq.m.),3.0,4.0,2 ,Servant Room,14.0,South-West,0 to 1 Year Old,"['Sapphire 83 Mall', 'Golf Course Ext Rd', ""St. Xavier's High School"", 'DPG Institute of Technology', 'Miracles Apollo Cradle', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Gurugram Sector 90', 'SkyJumper Trampoline Park', 'Vishalgarh Farms', 'F9 Go Karting Gurgaon']",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
2149,flat,sector 51 ,orchid island,1.7,10651.0,1596.09,Carpet area: 1596 (148.27 sq.m.),3.0,4.0,3 ,"Pooja Room,Store Room",2.0,West,5 to 10 Year Old,"['Rapid Metro Sector 55-56', 'Tigra Market', 'Garima Public School', 'Gurugram University', 'ISKCON Temple', 'Artemis Hospital', 'IGI Airport', 'APJ Abdul Kalam Park', 'Imperfecto Patio']","['4 Geyser', '10 Light', '4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Maintenance Staff', 'Water Storage', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Rain Water Harvesting', 'Club house / Community Center']"
2654,flat,sector 99 ,pivotal riddhi siddhi,0.5,8517.0,587.06,Carpet area: 587 (54.53 sq.m.),2.0,1.0,2 ,not available,7.0,,Within 6 months,"['Huda Metro Station', 'The Hive Mall', 'JMS Marine Square Mall', 'Dwarka Expy, Sector 101', 'Euro International School, Sector 37D', 'Rishikul College Gurugram', 'Shri Balaji’s Multispeciality', 'Indira Gandhi Intl Airport']",,"['Security / Fire Alarm', 'Lift(s)', 'Park', 'Visitor Parking']"
1506,flat,sector 85 ,ss,2.1,7467.0,2812.37,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4.0,4.0,3 ,not available,2.0,North-West,1 to 5 Year Old,"['Orris Community Center', 'Indian Oil', 'Essar Petrol Pump', 'HP Petrol Pump', 'Vijay Petrol Pump', 'Petrol Pump Indian Oil', 'Pizza Hut', 'KFC']","['6 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
1754,flat,sector 83 ,vatika emilia floors,0.65,6190.0,1050.08,Super Built up area 1050(97.55 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),2.0,2.0,2 ,not available,1.0,South,1 to 5 Year Old,"['Retail Shops', 'Town Square', 'INXT City Centre', 'Town Square 2', 'MatriKiran School', 'Apollo Cradle', 'Medeor', 'Medanta', 'Signature Hospital', 'Proposed ISBT', 'Hyatt Regency', 'Karma Lakelands', 'Heritage Village', 'Grand Bharat', 'INOX']","['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '2 Geyser', '8 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
862,flat,sector 56 ,kiran residency,1.55,7750.0,2000.0,Super Built up area 2000(185.81 sq.m.),3.0,3.0,3 ,Servant Room,5.0,North,10+ Year Old,"['Sector metro station', 'Sector metro station', 'Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'Icici bank ATM', 'State bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'pracksht hospital', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'Surgicare Hospital Gurgaon', 'Arunodaya Deseret Eye Hospital', 'Vatsalya Clinic', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'International Tech Park', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'Hdfc bank', 'State bank of india', 'Kotak mahindra bank', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', '222', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Madison and Pike', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Gurugram University', 'Suncity School']","['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '3 Geyser', '11 Light', '1 Chimney', '3 AC', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Park', 'Piped-gas', 'Visitor Parking', 'Waste Disposal']"
493,flat,sector 81 ,dlf the ultima,2.4,11412.0,2103.05,Super Built up area 2103(195.38 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3.0,3.0,3+ ,Servant Room,12.0,North-East,1 to 5 Year Old,"['Huda Metro Station (Gurugram)', 'Vatika Town Square-INXT', 'Manesar Road', 'NH 48', 'Euro International School, Sec 84', 'SGT University', 'Miracles Apollo Cradle Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","['1 Fridge', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '15 Light', '1 Modular Kitchen', '5 AC', '1 Chimney', '3 Wardrobe', '1 Washing Machine', '1 Microwave', 'No Bed', 'No Curtains', 'No Dining Table', 'No Sofa', 'No TV', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
3792,ind. house,sector 46 ,,2.4,26667.0,900.0,Plot area 100(83.61 sq.m.),4.0,4.0,3 ,Store Room,3.0,East,5 to 10 Year Old,"['Axis bank ATM', 'State bank of india ATM', 'Standard chartered ATM', 'Icici bank ATM', 'Sukhmani Hospital Pvt. Ltd', 'Dispencery', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Meher Clinic', 'Medanta', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Bones Clinic - Orthopaedics', 'Neelkanth Health Care', 'Best Urologist Atcomplete Family Clinic', 'Samvit Health Care', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Wembley estate club', 'Pernod Ricard Charitable Dispensary', 'Gardian Pharmacy', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'Hdfc bank', 'Hdfc bank', 'SRS Cinemas', 'Raj Restaurant', 'Haldiram', 'KFC', 'Om Sweets', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Madison and Pike', 'Manav Rachna School', 'Amity Global School', 'Delhi Public School Primary Section', 'St. Angels Sr', 'Gurugram University', 'St. Angels Jr', 'CR Model Public School', 'Kamla International', 'School of Inspired Leadership SOIL', 'Manav Rachna Swimming Pool']","['4 Wardrobe', '8 Fan', '32 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Park', 'Recently Renovated', 'Visitor Parking', 'Natural Light']"
2993,ind. house,sector 9a ,,4.5,14286.0,3150.0,Plot area 14(354.1 sq.m.),9.0,9.0,3+ ,"Pooja Room,Study Room,Others",3.0,,1 to 5 Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Esic Hospital Gurugram', 'Shree Krishna Hospital Gurgaon', 'Kr Dental Hub', 'Shri Multispeciality Hospital', 'Prateek Nursing Home And Polyclinic', 'Dr. Ashok Jain', 'Pearl Dental Clinic', 'Taneja Hospital', 'Dr. Madan Clinic', 'Ankur Clinic and Maternity Home', 'Dr. Hitesh Dawar', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Dev Man Kathuria Clinic', 'Sarvodya Hospital', 'Geeta Nursing Home Gurgaon', 'Shiv Mahima Patient Care Bureau', 'Navjeevan Hospital and Maternity Centre', 'Gurgaon Eye Centre', 'Chiranjiv Hospital', 'Aryan Hospital', 'Satyam Hospital Gurgaon', 'Sneh Hospital Gurgaon', 'Shri Gobind Hospital', 'Swastik Maternity and Medical Centre', 'Lal Superspeciality Hospital', 'D.R. Rajnis Gupta Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Ravi Clinic and Health Care Centre', 'Bindal Clinic', 'Dr. Sindhu Clinic', 'M.S Hospital', 'My Care Clinic', 'Sparsh Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Bhardwaj Hospital', 'Kamla Hospital Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Bhatnagar Maternity and Nursing Home', 'Kotak bank', 'Hdfc bank', 'Indian bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Basai dhankot railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['11 Wardrobe', '18 Fan', '1 Exhaust Fan', '5 Geyser', '50 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking', 'Rain Water Harvesting']"
2283,flat,sector 107 ,m3m woodshire,0.9,6590.0,1365.71,Super Built up area 1366(126.91 sq.m.),2.0,2.0,3+ ,Others,10.0,,1 to 5 Year Old,"['Signum 107', 'Nora Solomon Medicenter', 'Indira Gandhi International Airport', 'The Shikshiyan School', 'Najafgarh Jheel Bird Sanctuary', 'Skylark Cricket Academy']","['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '12 Light', '4 AC', '1 Chimney', '1 Modular Kitchen', '1 TV', '2 Wardrobe', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Washing Machine']",
693,flat,sector 108 ,sobha city,1.9,13758.0,1381.01,Super Built up area 1381(128.3 sq.m.),2.0,2.0,2 ,not available,8.0,East,1 to 5 Year Old,"['Dwarka Sector 21', 'Dwarka Expressway', 'Vasant Kunj', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'IGI Airport', 'Gurgaon', 'WTC Plaza', 'Luxus Haritma Resort', 'Fun N Food WaterPark', 'BSF Golf Course', 'Nehru Stadium']",[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
528,flat,sector 84 ,antriksh heights,0.49,4355.0,1125.14,Super Built up area 1125(104.52 sq.m.),2.0,2.0,2 ,not available,16.0,East,1 to 5 Year Old,"['Old Bengali Market', 'MatriKiran High School', 'Society Park']",[],"['Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']"
83,flat,sector 15 part 1,anamika enclave,0.64,6500.0,984.62,Super Built up area 1000(92.9 sq.m.),2.0,2.0,1 ,not available,1.0,,0 to 1 Year Old,"['Rajiv Chowk Mosque', 'Hanuman Mandir', 'Hdfc bank ATM', 'State bank of india ATM', 'Icici bank ATM', 'Bansal Medicare and Maternity Centre', 'Pushpanjali Hospital Gurgaon', 'Pushpanjali Hospital', 'Dayal Eye & Maternity Centre', 'Ahmed Hospital Multi Speciality', 'Thakral Nursing and Maternity Home', 'Aarvy Hospital', 'Medanta', 'Smile Plus Dental Clinic', 'Rama Hospital & Nursing Home', 'Rajendra Hospital', 'Dispencery', 'Dr. Sandeep Chauhan', 'Sharma Hospital Gurgaon', 'Vinayak Hospital Gurgaon', 'Nangia Hospital Ent and Maternity', 'Pasricha Hospital and Maternity Home', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Ahooja Eye and Dental Institute Hospital', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Samvit Health Care', 'Parashar Hospital', 'Kathuria Hospital', 'Shubham Hospital Gurgaon', 'Sethi Hospital Gurgaon', 'Gurgaon Election Commission', 'Road and Traffic Authority', 'Gardian Pharmacy', 'Indian Oil', 'IBP Petrol Station', 'IBP Petrol Pump', 'Punjab national bank', 'State bank of india sbi', 'Darbar', 'KFC', 'Om Sweets', 'Fast food', 'Fast Food', 'Bar and restaurant', 'CR Model Public School', 'govt sec school', 'Kendriya Vidyalaya No.2 Sohna Road', 'Salvan Public School', 'District library gurgaon']","['1 Fan', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",
3618,ind. house,sector 50,unitech aspen greens,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),3.0,4.0,2 ,"Study Room,Servant Room",1.0,East,5 to 10 Year Old,"['Radhakrishna Shani Mandir', 'Standard chartered ATM', 'Icici bank ATM', 'Vatsalya Clinic', 'Meher Clinic', 'Bones Clinic - Orthopaedics', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Dr. Naresh Pandita', 'Neelkanth Health Care', 'Dr. Anuj Sharma', 'Skin Clinic', 'Divine Look Clinic Centre', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Sukhmani Hospital Pvt. Ltd', 'Wembley estate club', 'Gardian Pharmacy', 'Genius', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Unitech', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'Indusind bank', 'Hdfc bank', 'SRS Cinemas', 'Madison and Pike', 'India', 'Haldiram', ""Domino's Pizza"", ""Nirula's"", 'Starbucks', 'Nook', 'Kamla International', 'Gurugram University', 'Delhi Public School Primary Section', 'Amity Global School', 'Manav Rachna School', 'St. Angels Sr', 'Manav Rachna Swimming Pool']","['3 Wardrobe', '3 Fan', '1 Exhaust Fan', '3 Geyser', '9 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
3539,ind. house,sector 50 ,ss hibiscus,12.5,40850.0,3060.0,Plot area 470(392.98 sq.m.)Built Up area: 410 sq.yards (342.81 sq.m.)Carpet area: 340 sq.yards (284.28 sq.m.),4.0,4.0,3+ ,"Servant Room,Study Room",2.0,West,1 to 5 Year Old,"['Baani Square', 'SS Plaza', 'Good Earth City Centre', 'Nirvana Courtyard', 'Sapphire Mall', 'Gems Modern School', 'HDFC School', 'C K Birla Hospital', 'Cloudnine Hospital', 'Park Hospital', 'Artemis Hospital', 'Medanta Medicity', 'Unitech Cyber City', 'Horizon One', 'IPSA Day Care']","['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '4 Geyser', '1 Stove', '12 Light', '4 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']"
